date,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei
01/01/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.724531,-19.381381,-20.2,27.854974,-1.815407,-18.289018,-27.469824,16.770159,98.498043
01/02/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.140962,-14.755191,-18.8,20.778076,-1.327713,-14.423437,-26.778375,14.248493,93.809787
01/03/1995,31184.89,NA,635687.43,NA,11.2,13.9,84.349361,90.940051,NA,NA,NA,NA,NA,NA,NA,NA,-0.262668,-16.20636,-21.4,18.218356,-2.529699,-16.777262,-29.194339,11.980638,93.492925
01/04/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.801725,-16.398532,-19.2,5.893356,-6.217044,-17.901335,-29.996408,5.979146,99.328411
01/05/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.985507,-14.41408,-17.9,7.457559,-5.59757,-15.613695,-29.191964,5.687565,99.212721
01/06/1995,31017.59,-0.537921972,640777.12,0.797470948,27.2,16,84.555137,85.447164,NA,NA,NA,NA,NA,NA,NA,NA,-3.883751,-15.282164,-17.8,6.230911,-7.044376,-18.153428,-30.191496,4.269197,98.998639
01/07/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.671817,-16.042484,-16.2,5.227032,-9.372115,-21.742589,-29.901054,2.153405,98.743534
01/08/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.660847,-15.996216,-15,6.913675,-9.910758,-20.724382,-30.376708,0.793747,97.96879
01/09/1995,31647.75,2.01125931,642071.09,0.20173399,23.4,17,83.993828,83.94685,NA,NA,NA,NA,NA,NA,NA,NA,-4.801407,-19.465608,-15,10.161387,-12.232443,-26.483494,-31.109743,1.301833,98.067581
01/10/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.378807,-16.337321,-14.7,13.200899,-11.397953,-25.038439,-30.868734,2.338357,93.970874
01/11/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.930474,-16.2988,-20.9,6.107378,-12.156099,-26.795718,-34.341645,0.622485,93.753194
01/12/1995,32071.58,1.33032237,642329.89,0.040298942,24.2,22.2,83.640921,86.561694,NA,NA,NA,NA,NA,NA,NA,NA,-3.188418,-16.801715,-19.2,9.036462,-14.425287,-30.370332,-34.480573,0.073344,93.031735
01/01/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.956547,-23.184191,-24.1,-1.285451,-17.287427,-32.573672,-36.243619,-5.046414,93.362306
01/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.464926,-29.336566,-17.7,-5.558212,-20.348096,-38.201266,-37.514831,-6.319928,93.474169
01/03/1996,31569.64,-1.577438045,637758.07,-0.714300826,26.6,27.4,82.072253,83.743998,NA,NA,NA,NA,NA,NA,NA,NA,-16.843573,-29.695608,-23.9,-12.335111,-22.709973,-38.954757,-39.726867,-9.385915,93.045984
01/04/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.543085,-28.58767,-22.9,-14.841585,-22.603812,-39.610252,-39.60867,-8.971476,93.051837
01/05/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.285965,-31.930423,-25.3,-12.227473,-21.721342,-39.02111,-38.188129,-7.779213,92.847098
