date,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei
01/01/1995,NA,NA,NA,NA,NA,NA,NA,NA,106.5,NA,NA,NA,NA,NA,NA,NA,-8.437591,-12.215402,-12.20257,8.931635,-0.076906,3.315776,-10.096239,9.224282,98.588551
01/02/1995,NA,NA,NA,NA,NA,NA,NA,NA,103.9,NA,NA,NA,NA,NA,NA,NA,-5.928283,-2.010264,5.48143,9.459553,1.598779,2.220576,-8.629848,14.658831,99.21248
01/03/1995,8620,NA,189189,NA,0.127776,2.427883,78.68613,82.20716,104.6,NA,NA,NA,NA,NA,NA,NA,-6.854417,-0.743059,2.28271,13.489419,-0.591792,1.660584,-6.261813,8.43261,96.476545
01/04/1995,NA,NA,NA,NA,NA,NA,NA,NA,107.1,NA,NA,NA,NA,NA,NA,NA,4.526385,3.228896,22.44045,11.545452,2.076479,3.991104,-6.383034,7.703386,100.660562
01/05/1995,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,-11.396525,-8.58286,-9.35687,1.743149,-5.414326,-5.105186,-2.666663,4.465264,99.251687
01/06/1995,8812,2.202934426,190436,0.656966472,1.315273,2.476702,78.33556,81.34275,105.6,NA,NA,NA,NA,NA,NA,NA,-16.574432,-13.689975,-4.2184,-1.990015,-8.788749,-9.844656,-17.709159,6.069694,96.219356
01/07/1995,NA,NA,NA,NA,NA,NA,NA,NA,105.9,NA,NA,NA,NA,NA,NA,NA,-2.487547,-2.9637,5.90499,7.546392,-7.100551,-8.835163,-16.904513,4.241461,98.473701
01/08/1995,NA,NA,NA,NA,NA,NA,NA,NA,103.2,NA,NA,NA,NA,NA,NA,NA,-9.112318,-9.473401,2.71272,1.725458,-7.276104,-14.059508,-15.509484,10.561864,98.030004
01/09/1995,9007,2.188762386,191279,0.441691508,1.895914,3.12265,78.07482,81.2608,103.7,NA,NA,NA,NA,NA,NA,NA,-15.388459,-16.497577,-4.08296,-1.900773,-9.95838,-17.137964,-19.222514,5.885205,99.668924
01/10/1995,NA,NA,NA,NA,NA,NA,NA,NA,105.9,NA,NA,NA,NA,NA,NA,NA,-20.764229,-26.279656,-4.72866,3.554919,-13.285755,-17.567878,-24.355773,1.766101,99.928458
01/11/1995,NA,NA,NA,NA,NA,NA,NA,NA,106.4,NA,NA,NA,NA,NA,NA,NA,-14.878115,-19.277513,-3.51035,1.571837,-12.865114,-17.06104,-20.224545,1.314428,99.399854
01/12/1995,9227,2.413191579,192727,0.754158457,1.663908,5.535445,78.15143,79.00972,108.3,NA,NA,NA,NA,NA,NA,NA,-13.455051,-20.616662,-9.8657,5.123364,-14.781243,-19.939362,-23.199213,0.603257,97.012978
01/01/1996,NA,NA,NA,NA,NA,NA,NA,NA,103.7,NA,NA,NA,NA,NA,NA,NA,-16.370441,-22.323683,-11.99012,6.736889,-18.047518,-28.050099,-26.095912,1.147247,97.856844
01/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,108.2,NA,NA,NA,NA,NA,NA,NA,-14.383648,-19.692033,-13.00499,9.261911,-17.877552,-25.728272,-30.680309,-0.326217,93.507385
01/03/1996,9368,1.51656577,193835,0.573260193,-0.512284,4.93175,76.96229,81.09235,106.4,NA,NA,NA,NA,NA,NA,NA,-14.55235,-15.795176,-9.5939,-4.844291,-16.687656,-27.56474,-36.168982,3.469878,93.233669
01/04/1996,NA,NA,NA,NA,NA,NA,NA,NA,109.3,NA,NA,NA,NA,NA,NA,NA,-15.818374,-21.4711,-20.90722,0.993,-15.705526,-27.774491,-34.413149,4.874033,93.086421
01/05/1996,NA,NA,NA,NA,NA,NA,NA,NA,109.2,NA,NA,NA,NA,NA,NA,NA,-13.589319,-19.681856,-23.35005,1.223738,-14.615746,-26.695586,-31.620333,7.319084,93.740501
01/06/1996,9598,2.425511714,195175,0.68893103,0.731752,3.161617,77.00055,82.02186,108.4,NA,NA,NA,NA,NA,NA,NA,-20.732927,-25.7938,-13.63092,-7.536177,-14.444108,-25.849192,-34.749983,5.819863,99.30929
01/07/1996,NA,NA,NA,NA,NA,NA,NA,NA,107.7,NA,NA,NA,NA,NA,NA,NA,-8.997096,-17.590043,-14.6855,5.605949,-10.260971,-18.420172,-34.198255,5.054306,98.113819
01/08/1996,NA,NA,NA,NA,NA,NA,NA,NA,109.7,NA,NA,NA,NA,NA,NA,NA,-17.510666,-26.743946,-36.915389,-10.316641,-12.058935,-23.835667,-34.621025,4.562802,96.453191
01/09/1996,9917,3.269571277,196776,0.816943396,-0.653661,1.370337,77.28378,79.53692,111.5,NA,NA,NA,NA,NA,NA,NA,-10.080306,-20.408203,-20.39603,6.826703,-7.52044,-15.222968,-35.434045,5.106671,97.346375
01/10/1996,NA,NA,NA,NA,NA,NA,NA,NA,109.5,NA,NA,NA,NA,NA,NA,NA,-14.093799,-17.548775,-18.20426,-5.410386,-8.074075,-14.970129,-26.562438,7.030614,105.944386
01/11/1996,NA,NA,NA,NA,NA,NA,NA,NA,109.8,NA,NA,NA,NA,NA,NA,NA,-9.911341,-18.256482,-16.1432,-0.254423,-9.355022,-15.79399,-23.415061,4.417034,106.469148
01/12/1996,9965,0.482849746,197755,0.496286482,-0.614279,3.934077,76.4083,82.68803,111.9,NA,NA,NA,NA,NA,NA,NA,-8.228441,-18.817438,-19.55052,9.966013,-10.132722,-16.177239,-22.315918,3.425855,104.023631
01/01/1997,NA,NA,NA,NA,NA,NA,NA,NA,111.8,NA,NA,NA,NA,NA,NA,NA,-5.0795,-21.285495,-23.968032,14.302799,-7.334459,-13.29155,-24.128913,6.015568,106.284682
01/02/1997,NA,NA,NA,NA,NA,NA,NA,NA,107.7,NA,NA,NA,NA,NA,NA,NA,-7.93516,-16.53272,-28.397157,-0.429275,-4.776089,-10.732286,-24.800144,9.664151,107.434077
01/03/1997,10373,4.012732278,199727,0.992254331,4.981509,3.97856,78.19719,83.47243,117.4,NA,NA,NA,NA,NA,NA,NA,-1.582627,-3.544523,-13.12574,9.510786,-5.203375,-5.331769,-24.195175,3.485942,96.347493
01/04/1997,NA,NA,NA,NA,NA,NA,NA,NA,113.1,NA,NA,NA,NA,NA,NA,NA,-1.44711,-4.797101,-14.45821,14.590669,-4.332756,-4.5686,-19.506871,5.067494,106.552025
01/05/1997,NA,NA,NA,NA,NA,NA,NA,NA,112.5,NA,NA,NA,NA,NA,NA,NA,-0.017206,-3.605707,-6.46002,12.961335,-0.381249,-2.501077,-19.589787,13.245771,97.816779
01/06/1997,10659,2.719832926,201529,0.898185754,9.212157,3.659786,80.31298,84.48183,118.7,NA,NA,NA,NA,NA,NA,NA,-3.074813,-12.296014,-17.98957,10.343193,-0.131614,-2.17192,-13.899532,11.614859,108.552987
01/07/1997,NA,NA,NA,NA,NA,NA,NA,NA,119.3,NA,NA,NA,NA,NA,NA,NA,2.446144,-4.034854,-4.6365,7.03758,2.603368,0.436306,-13.571528,12.884482,110.330996
01/08/1997,NA,NA,NA,NA,NA,NA,NA,NA,121.8,NA,NA,NA,NA,NA,NA,NA,6.166053,-7.716207,-11.3621,22.307447,3.070427,2.492899,-10.802906,10.583154,110.103555
01/09/1997,11135,4.3688695,203766,1.103898502,1.641612,0.09646,80.24509,86.36928,121.9,NA,NA,NA,NA,NA,NA,NA,8.571577,3.914913,-14.6819,19.510467,7.245121,12.181548,-8.742715,13.342058,109.663892
01/10/1997,NA,NA,NA,NA,NA,NA,NA,NA,123.8,NA,NA,NA,NA,NA,NA,NA,6.912456,5.994563,-0.30599,19.129802,6.304289,6.163314,-8.777489,16.324478,111.090161
01/11/1997,NA,NA,NA,NA,NA,NA,NA,NA,123.2,NA,NA,NA,NA,NA,NA,NA,6.931114,12.488493,-7.44473,10.197937,6.649564,9.689139,-7.583444,16.504041,111.598871
01/12/1997,11524,3.433851651,206628,1.394779845,1.267982,1.689009,80.17461,83.26098,120.5,NA,NA,NA,NA,NA,NA,NA,8.271595,6.882054,3.61505,12.515722,3.39182,4.581561,-11.436308,9.169031,112.299035
01/01/1998,NA,NA,NA,NA,NA,NA,NA,NA,124.6,NA,NA,NA,NA,NA,NA,NA,10.396623,9.55854,2.84583,19.486882,4.710061,9.289343,-9.196466,10.861506,106.439348
01/02/1998,NA,NA,NA,NA,NA,NA,NA,NA,125.8,NA,NA,NA,NA,NA,NA,NA,9.773013,13.056954,11.61769,18.37739,3.194259,8.749503,-5.997971,10.656907,107.407183
01/03/1998,12199,5.692216394,208368,0.838567213,2.335115,1.446565,81.10789,85.78047,123.5,NA,NA,NA,NA,NA,NA,NA,9.02222,14.86671,16.39746,12.695412,4.059736,6.577068,-6.326783,13.428709,111.440223
01/04/1998,NA,NA,NA,NA,NA,NA,NA,NA,126.8,NA,NA,NA,NA,NA,NA,NA,8.852621,15.02942,7.05668,13.685469,0.916558,5.878794,-8.676492,8.182907,109.650552
01/05/1998,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,13.654202,20.051985,3.11941,15.566221,1.244166,4.52829,-10.666221,7.22432,112.428886
01/06/1998,12372,1.408187366,210656,1.092072406,0.369946,0.816602,82.26724,87.85125,127.4,NA,NA,NA,NA,NA,NA,NA,15.65099,32.326366,17.23566,11.103693,5.240498,10.608509,-13.104929,12.454057,115.559935
01/07/1998,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,12.452624,33.421608,24.04846,1.432045,5.271491,13.028301,-9.005207,10.753343,110.686318
01/08/1998,NA,NA,NA,NA,NA,NA,NA,NA,127.1,NA,NA,NA,NA,NA,NA,NA,10.847137,20.719701,4.36155,5.766828,1.206167,6.301429,-10.034495,4.578756,119.880081
01/09/1998,12728,2.836843621,212663,0.948228186,-2.182124,0.786107,80.89768,85.49338,125.7,NA,NA,NA,NA,NA,NA,NA,4.693363,2.729039,-14.7683,4.936863,-0.555628,-2.463267,-17.117653,6.607368,113.62168
01/10/1998,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,2.353802,-0.445918,-14.31863,5.362168,-3.05664,-4.151699,-23.070122,2.694661,118.445307
