date,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei
01/01/1995,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,-2.934746,-13.856226,-10.267663,6.246648,4.579401,-2.195916,1.634652,16.791835,100.875399
01/02/1995,NA,NA,NA,NA,NA,NA,NA,NA,86.9,NA,NA,NA,NA,NA,NA,NA,-4.446687,-10.026515,-14.161468,0.501658,1.271732,-2.799206,-2.022889,9.951445,101.326452
01/03/1995,18048,NA,418050.7,NA,21.668528,18.13447,82.492378,81.979535,85.1,NA,NA,NA,NA,NA,NA,NA,-4.161727,-10.37893,-16.621732,-0.554191,-1.132932,-5.817004,-3.728465,6.062558,102.659781
01/04/1995,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,-3.921944,-7.898963,-8.789071,-3.410691,0.487542,-3.056272,-4.357085,6.10754,102.600166
01/05/1995,NA,NA,NA,NA,NA,NA,NA,NA,84.4,NA,NA,NA,NA,NA,NA,NA,-3.52477,-9.54895,-11.299984,0.672095,0.855836,-1.279551,-5.221507,7.601568,101.560387
01/06/1995,17855.5,-1.07232913,420791.8,0.653545751,39.513075,20.157817,82.788154,82.829282,84.9,NA,NA,NA,NA,NA,NA,NA,-16.733036,-15.87117,-19.675923,-20.548463,-4.288096,-5.087945,-12.309595,0.556033,99.877463
01/07/1995,NA,NA,NA,NA,NA,NA,NA,NA,86.2,NA,NA,NA,NA,NA,NA,NA,-21.039377,-28.214873,-26.085716,-20.682537,-5.300673,-10.37535,-15.943875,2.45179,99.666031
01/08/1995,NA,NA,NA,NA,NA,NA,NA,NA,84.9,NA,NA,NA,NA,NA,NA,NA,-20.637311,-26.443049,-23.887363,-20.100778,-7.971231,-13.830134,-17.353873,-0.819888,98.829239
01/09/1995,18004.1,0.828792572,421449.4,0.156154824,22.77542,12.894205,83.569281,82.610588,85.8,NA,NA,NA,NA,NA,NA,NA,-21.389917,-27.70136,-21.689011,-19.73593,-10.706134,-17.284919,-17.92542,-4.284601,97.693033
01/10/1995,NA,NA,NA,NA,NA,NA,NA,NA,85.3,NA,NA,NA,NA,NA,NA,NA,-17.510823,-34.72691,-26.563161,3.580169,-11.891755,-25.721346,-20.804951,1.364908,96.068794
01/11/1995,NA,NA,NA,NA,NA,NA,NA,NA,84.9,NA,NA,NA,NA,NA,NA,NA,-16.352482,-24.423015,-20.264662,-0.080576,-14.238346,-24.689984,-21.604103,-1.966883,93.373895
01/12/1995,18017,0.07162469,421282.9,-0.039514328,20.546808,14.616051,83.337138,83.565687,88.5,NA,NA,NA,NA,NA,NA,NA,-25.283077,-40.970544,-24.192618,-9.863743,-18.801264,-35.901466,-25.325906,-1.867612,91.686431
01/01/1996,NA,NA,NA,NA,NA,NA,NA,NA,86.7,NA,NA,NA,NA,NA,NA,NA,-26.008337,-30.585378,-34.994162,-20.322403,-17.872201,-29.777712,-29.51353,-6.194542,90.419467
01/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,85.2,NA,NA,NA,NA,NA,NA,NA,-19.318955,-34.335632,-33.53124,4.146902,-17.370205,-31.670702,-30.135711,0.103404,90.870027
01/03/1996,18491.7,2.600622613,424211.4,0.692733638,34.756558,22.320184,82.621767,82.409807,86.5,NA,NA,NA,NA,NA,NA,NA,-21.204548,-44.648902,-31.813114,5.36523,-17.879603,-34.225174,-28.849717,2.079105,91.379462
01/04/1996,NA,NA,NA,NA,NA,NA,NA,NA,86.7,NA,NA,NA,NA,NA,NA,NA,-10.992693,-21.586619,-22.65548,16.190199,-15.060308,-30.265423,-27.518389,7.804388,91.668265
01/05/1996,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA,NA,NA,NA,-17.357871,-26.056112,-25.758668,1.416931,-16.898249,-26.730731,-28.056979,3.4887,90.538603
01/06/1996,18284,-1.129562229,425029.4,0.192642712,40.286846,30.229764,82.703714,83.93744,87.4,NA,NA,NA,NA,NA,NA,NA,-16.170021,-29.175086,-35.281056,8.21151,-16.273594,-26.255992,-34.040108,1.874533,88.843251
01/07/1996,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,NA,NA,NA,NA,NA,NA,-11.517234,-19.334897,-17.994357,10.789192,-17.481626,-29.579092,-27.097572,0.641139,88.691969
01/08/1996,NA,NA,NA,NA,NA,NA,NA,NA,88.2,NA,NA,NA,NA,NA,NA,NA,-8.201371,-14.885566,-14.069648,10.989675,-15.162091,-27.03449,-23.25674,1.716068,89.290103
01/09/1996,18525.1,1.310020881,426670.1,0.385277209,29.126974,28.347388,82.481174,81.235436,87.7,NA,NA,NA,NA,NA,NA,NA,-6.23439,-14.006625,-10.144939,10.944433,-12.923544,-24.489888,-18.554401,2.548031,89.580652
01/10/1996,NA,NA,NA,NA,NA,NA,NA,NA,86.2,NA,NA,NA,NA,NA,NA,NA,-9.358863,-18.343913,-18.561343,1.452731,-11.389685,-24.019515,-19.181924,3.923416,88.280925
01/11/1996,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,-10.254039,-17.48141,-6.759391,-3.61997,-11.721496,-22.421902,-12.13818,3.805341,89.025949
01/12/1996,18476.3,-0.263773956,428311.3,0.383915256,28.152239,27.249372,79.8949,78.7696,86.6,NA,NA,NA,NA,NA,NA,NA,-11.079012,-27.182314,-13.874837,10.784472,-13.10881,-24.161752,-13.492308,5.452385,91.255007
01/01/1997,NA,NA,NA,NA,NA,NA,NA,NA,86.9,NA,NA,NA,NA,NA,NA,NA,-7.498174,-24.857494,-18.560439,9.576835,-9.192958,-19.580832,-15.851182,5.295043,94.786621
01/02/1997,NA,NA,NA,NA,NA,NA,NA,NA,87.2,NA,NA,NA,NA,NA,NA,NA,-5.479236,-21.034497,-19.947208,13.347642,-9.78073,-20.875141,-11.873377,6.192027,96.734063
01/03/1997,18217.1,-1.412811631,430139.7,0.4259772,37.680737,27.59257,82.244067,82.281729,89.5,NA,NA,NA,NA,NA,NA,NA,-12.546672,-21.51522,-12.181779,3.368802,-8.810859,-19.295988,-5.89872,11.2055,98.708182
01/04/1997,NA,NA,NA,NA,NA,NA,NA,NA,93.6,NA,NA,NA,NA,NA,NA,NA,-12.027495,-25.090572,-8.770665,11.746453,-9.548839,-21.241896,-9.575847,10.167166,99.399583
01/05/1997,NA,NA,NA,NA,NA,NA,NA,NA,90.1,NA,NA,NA,NA,NA,NA,NA,-12.263669,-25.655763,0.104379,8.764419,-6.333445,-13.383415,-4.903011,10.988689,97.345807
01/06/1997,18701.3,2.623232675,434654.5,1.044142298,34.935136,23.547969,82.178819,82.733073,91.4,NA,NA,NA,NA,NA,NA,NA,-10.426964,-24.475062,18.060019,11.296685,-5.368676,-13.953523,5.230991,9.592009,93.747515
01/07/1997,NA,NA,NA,NA,NA,NA,NA,NA,92.2,NA,NA,NA,NA,NA,NA,NA,-9.200883,-17.065981,6.066766,7.754456,-4.429607,-11.516637,0.953478,11.19559,92.623634
01/08/1997,NA,NA,NA,NA,NA,NA,NA,NA,99.1,NA,NA,NA,NA,NA,NA,NA,-1.124043,-4.157506,15.716606,15.105317,-1.480967,-5.509565,9.158469,12.777896,93.719997
01/09/1997,18986.6,1.514042703,438976.5,0.989441826,31.589073,19.85981,83.120729,83.357032,93.9,NA,NA,NA,NA,NA,NA,NA,5.567998,5.169511,25.366446,22.12759,1.366447,0.497506,18.248649,14.056524,94.414638
01/10/1997,NA,NA,NA,NA,NA,NA,NA,NA,95.4,NA,NA,NA,NA,NA,NA,NA,0.783138,-10.254132,10.933561,19.955776,0.004683,-6.291716,9.654502,16.207602,94.069509
01/11/1997,NA,NA,NA,NA,NA,NA,NA,NA,95.2,NA,NA,NA,NA,NA,NA,NA,2.197667,-1.534323,26.266091,24.793011,-0.822018,-3.6306,17.520526,14.060434,96.952015
01/12/1997,19507.4,2.706041357,443314.5,0.983356955,24.435599,15.83262,83.055275,85.337368,95.4,NA,NA,NA,NA,NA,NA,NA,6.194289,-0.094789,23.402142,25.530325,3.001051,1.726398,19.112166,16.20394,98.193904
01/01/1998,NA,NA,NA,NA,NA,NA,NA,NA,96.5,NA,NA,NA,NA,NA,NA,NA,3.258025,-6.217349,12.695037,25.395088,2.329882,-0.919164,10.745289,17.307075,100.356715
01/02/1998,NA,NA,NA,NA,NA,NA,NA,NA,97.5,NA,NA,NA,NA,NA,NA,NA,1.04541,-6.739761,9.987288,22.521965,2.350042,2.744063,9.97199,16.29938,101.948808
01/03/1998,20332.7,4.143654672,447563.6,0.953920008,33.954167,18.405236,84.129467,84.724751,93.9,NA,NA,NA,NA,NA,NA,NA,10.206453,12.877245,26.596578,35.312294,7.072277,10.832862,16.489638,20.240361,104.169818
01/04/1998,NA,NA,NA,NA,NA,NA,NA,NA,97.7,NA,NA,NA,NA,NA,NA,NA,13.947556,16.396558,19.92102,37.749844,4.645583,7.5238,8.406779,17.236244,105.03237
01/05/1998,NA,NA,NA,NA,NA,NA,NA,NA,100.7,NA,NA,NA,NA,NA,NA,NA,14.812688,11.350837,11.996987,35.767379,4.369951,8.589257,7.63739,15.972079,104.852624
01/06/1998,21105.4,3.729850443,450768.5,0.713525343,-13.378364,4.53917,83.941747,87.623819,99.4,NA,NA,NA,NA,NA,NA,NA,23.443837,30.309453,27.495959,37.465372,8.610823,10.246466,10.780048,22.862341,104.644248
01/07/1998,NA,NA,NA,NA,NA,NA,NA,NA,100.8,NA,NA,NA,NA,NA,NA,NA,27.691301,31.823553,24.35046,35.296181,5.764432,8.343246,8.394572,14.113375,107.617777
01/08/1998,NA,NA,NA,NA,NA,NA,NA,NA,97.6,NA,NA,NA,NA,NA,NA,NA,23.927745,33.989824,25.698931,29.723448,4.626979,7.882351,6.605873,13.13478,104.569061
01/09/1998,21478.6,1.75281587,453100,0.515894773,-3.542956,8.203463,85.650703,87.140063,101.4,NA,NA,NA,NA,NA,NA,NA,19.22509,33.995334,27.047403,23.751958,3.365314,7.421456,5.729446,11.783552,101.135288
01/10/1998,NA,NA,NA,NA,NA,NA,NA,NA,100.2,NA,NA,NA,NA,NA,NA,NA,7.816359,15.451252,12.139223,10.160169,-4.500594,-3.797327,-2.988711,0.818892,99.196677
01/11/1998,NA,NA,NA,NA,NA,NA,NA,NA,101.8,NA,NA,NA,NA,NA,NA,NA,8.521863,8.592239,4.941653,14.931152,-5.68903,-9.410553,-8.214491,2.5581,100.406867
01/12/1998,21903.4,1.958478531,456206.2,0.683204862,-16.010064,10.089008,84.59587,86.386124,100.5,NA,NA,NA,NA,NA,NA,NA,10.530154,19.633516,6.662697,19.985,-7.37252,-9.932257,-10.727795,5.83184,99.739955
01/01/1999,NA,NA,NA,NA,NA,NA,NA,NA,100.8,67.1,NA,NA,80.27,NA,NA,72.34,2.962663,14.1937,8.13085,11.284994,-9.258915,-8.789691,-8.647492,0.000867,100.362526
01/02/1999,NA,NA,NA,NA,NA,NA,NA,NA,101.4,67.1,NA,NA,82.89,NA,NA,70.96,6.224717,16.819875,7.576428,12.297355,-6.375288,-8.665986,-14.191226,5.703321,101.609015
01/03/1999,22868.9,4.313603302,459345.1,0.685687912,-14.235102,12.701699,84.808813,88.38295,99.7,65.6,NA,NA,80.09,NA,NA,85.16,0.245637,2.144403,-10.431351,1.766805,-10.484902,-16.628975,-22.192561,-1.077365,103.01707
01/04/1999,NA,NA,NA,NA,NA,NA,NA,NA,103.4,66.8,NA,NA,76.88,NA,NA,79.91,0.740386,2.505231,-10.878296,11.338173,-8.063736,-17.548723,-19.959115,9.169828,103.17691
01/05/1999,NA,NA,NA,NA,NA,NA,NA,NA,104.5,66.3,NA,NA,88.52,NA,NA,77.44,-1.563422,4.019093,6.680407,-0.505008,-7.550244,-11.906711,-10.688875,4.28331,104.220535
01/06/1999,23400.7,2.298802751,462323.7,0.646351568,1.071381,18.730678,84.267509,87.748224,104,67.8,NA,NA,90.81,NA,NA,86.09,1.075161,-0.51785,-3.028261,6.591295,-6.259095,-16.685415,-14.644839,9.275401,104.8146
01/07/1999,NA,NA,NA,NA,NA,NA,NA,NA,105.5,69.5,NA,NA,84.2,NA,NA,89.79,9.759589,11.938179,4.375321,23.814299,-0.985646,-5.050489,-7.557443,13.837105,108.757426
01/08/1999,NA,NA,NA,NA,NA,NA,NA,NA,100,67.6,NA,NA,84.81,NA,NA,89.3,11.476055,14.01448,6.706472,20.647186,2.910308,-0.097698,-2.60907,16.680795,111.672371
