date,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei
01/01/1995,NA,NA,NA,NA,NA,NA,NA,NA,100.3,NA,NA,NA,NA,NA,NA,NA,15.835018,15.163908,20.373252,33.931146,8.934091,6.615237,8.715122,25.056662,90.374851
01/02/1995,NA,NA,NA,NA,NA,NA,NA,NA,100.2,NA,NA,NA,NA,NA,NA,NA,20.268912,22.747682,26.967541,37.019053,12.651377,11.765616,19.147539,26.577397,85.577032
01/03/1995,NA,NA,373226.3829,NA,6.51,20.7,76.887969,75.488268,101.1,NA,NA,NA,NA,NA,NA,NA,18.835341,22.562496,23.803631,28.643525,10.979003,11.690277,16.738511,23.316882,90.174944
01/04/1995,NA,NA,NA,NA,NA,NA,NA,NA,100.1,NA,NA,NA,NA,NA,NA,NA,20.878419,24.244799,19.31378,35.280457,10.548659,10.427295,12.997611,23.434369,95.018725
01/05/1995,NA,NA,NA,NA,NA,NA,NA,NA,103.2,NA,NA,NA,NA,NA,NA,NA,19.440453,20.769968,16.100788,35.451392,9.490625,8.886402,10.216071,22.917253,97.018167
01/06/1995,NA,NA,374397.6687,0.313335747,10.83,16.72,78.837764,78.853423,103.3,NA,NA,NA,NA,NA,NA,NA,21.598277,24.336922,16.501724,32.217909,9.764445,7.526282,10.442582,23.520447,88.215859
01/07/1995,NA,NA,NA,NA,NA,NA,NA,NA,103.6,NA,NA,NA,NA,NA,NA,NA,22.821583,19.249439,16.262959,39.805311,10.827984,4.951546,8.705346,28.638045,94.757863
01/08/1995,NA,NA,NA,NA,NA,NA,NA,NA,105.4,NA,NA,NA,NA,NA,NA,NA,13.975432,12.464334,10.652177,29.511962,7.244025,4.939116,5.327907,23.46917,92.434275
01/09/1995,NA,NA,373621.0553,-0.207645512,4.68,14.76,78.548479,78.901648,106.3,NA,NA,NA,NA,NA,NA,NA,16.580947,17.575208,7.515092,32.837632,5.354514,1.195223,2.704511,21.07973,94.902154
01/10/1995,NA,NA,NA,NA,NA,NA,NA,NA,109.1,NA,NA,NA,NA,NA,NA,NA,14.738031,10.041684,4.55768,29.532409,3.38291,-2.097969,-2.132822,20.029227,91.942844
01/11/1995,NA,NA,NA,NA,NA,NA,NA,NA,110.6,NA,NA,NA,NA,NA,NA,NA,9.12466,8.078155,5.617106,21.355825,0.116896,-5.377928,-3.744727,15.928143,91.8956
01/12/1995,NA,NA,376846.3349,0.859544195,9.48,16.59,78.930545,79.899924,112.1,NA,NA,NA,NA,NA,NA,NA,7.952037,4.082882,3.455019,24.323227,1.417687,-5.826994,-3.614447,19.357983,89.28094
01/01/1996,NA,NA,NA,NA,NA,NA,NA,NA,109.7,NA,NA,NA,NA,NA,NA,NA,4.647375,2.5548,-1.346584,18.657325,-1.732324,-10.875085,-6.753819,15.275054,89.189167
01/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,108.8,NA,NA,NA,NA,NA,NA,NA,-0.889241,-5.441265,-4.761979,11.453543,-7.838872,-17.419836,-14.55163,8.118052,86.450962
01/03/1996,17459.1,NA,402980.1,6.70496765,8.56,19.97,78.536648,78.734024,107.9,NA,NA,NA,NA,NA,NA,NA,-6.230183,-18.679111,-13.637034,4.898561,-8.707191,-22.971886,-21.080588,9.473905,85.307705
01/04/1996,NA,NA,NA,NA,NA,NA,NA,NA,106.8,NA,NA,NA,NA,NA,NA,NA,-6.523605,-17.820097,-12.634673,9.199281,-9.986112,-25.710269,-22.636898,8.921958,93.079959
01/05/1996,NA,NA,NA,NA,NA,NA,NA,NA,106.9,NA,NA,NA,NA,NA,NA,NA,-10.950914,-21.553134,-22.610096,2.670392,-11.360852,-25.071262,-25.219434,4.14803,93.116963
01/06/1996,23382.9,29.21439833,403560.4,0.143898564,14.34,22.35,76.581188,78.466644,106.4,NA,NA,NA,NA,NA,NA,NA,-11.091704,-23.982528,-24.658616,2.167417,-10.865724,-27.679296,-29.181717,7.284112,79.216852
01/07/1996,NA,NA,NA,NA,NA,NA,NA,NA,106.9,NA,NA,NA,NA,NA,NA,NA,-10.047082,-21.721659,-24.214815,-4.249586,-11.738747,-26.503724,-26.445568,3.101412,79.80585
01/08/1996,NA,NA,NA,NA,NA,NA,NA,NA,104.7,NA,NA,NA,NA,NA,NA,NA,-14.194783,-34.077696,-29.950302,-3.976653,-12.043006,-27.517635,-26.675512,2.769089,82.015788
01/09/1996,26237.3,11.51770764,404270.1,0.175705221,24.25,27.9,75.714766,76.284026,103.8,NA,NA,NA,NA,NA,NA,NA,-14.123179,-34.349996,-31.821267,1.380458,-12.363793,-28.803073,-26.733892,2.145995,87.613161
01/10/1996,NA,NA,NA,NA,NA,NA,NA,NA,104.2,NA,NA,NA,NA,NA,NA,NA,-8.792053,-28.755292,-32.445449,7.319133,-10.202927,-29.163592,-23.713688,5.640843,93.677283
01/11/1996,NA,NA,NA,NA,NA,NA,NA,NA,102.4,NA,NA,NA,NA,NA,NA,NA,-14.973057,-35.87736,-30.851397,2.978188,-12.376118,-33.012826,-30.377598,5.445186,91.627034
01/12/1996,26143.6,-0.357764376,402949.4,-0.327222318,25.15,32.11,74.862281,74.829038,102,NA,NA,NA,NA,NA,NA,NA,-9.114392,-24.222204,-26.204917,0.379029,-11.240633,-29.57841,-29.799702,5.889929,92.610879
01/01/1997,NA,NA,NA,NA,NA,NA,NA,NA,101.3,NA,NA,NA,NA,NA,NA,NA,-3.506028,-22.615753,-29.079086,13.62767,-6.476096,-24.620348,-24.034549,12.970754,74.14901
01/02/1997,NA,NA,NA,NA,NA,NA,NA,NA,106.4,NA,NA,NA,NA,NA,NA,NA,-9.278583,-32.716137,-31.061751,10.930388,-6.474714,-26.471083,-24.736434,14.322321,86.994171
01/03/1997,25368.3,-3.010405559,404103.7,0.286053244,23.64,29.76,75.587311,74.778818,106.6,NA,NA,NA,NA,NA,NA,NA,-10.969376,-32.722706,-28.349775,10.054577,-7.500101,-25.77509,-24.161571,10.260587,84.767971
01/04/1997,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,-7.466274,-22.39957,-17.784421,10.530748,-6.206917,-19.658497,-16.55962,12.692029,89.045051
01/05/1997,NA,NA,NA,NA,NA,NA,NA,NA,109.2,NA,NA,NA,NA,NA,NA,NA,-6.958192,-19.647159,-11.416447,9.352582,-3.414698,-16.911112,-15.108965,12.812516,97.912183
01/06/1997,24724.5,-2.570570823,410644.4,1.605610498,26.4,27.34,74.913595,74.481558,109.2,NA,NA,NA,NA,NA,NA,NA,-0.892913,-15.956193,-14.724426,19.167455,-1.61022,-13.471705,-13.472496,15.373041,101.609215
01/07/1997,NA,NA,NA,NA,NA,NA,NA,NA,108.5,NA,NA,NA,NA,NA,NA,NA,1.842495,-11.654562,-11.970312,21.262047,2.103581,-8.064544,-7.9104,18.648271,107.717749
01/08/1997,NA,NA,NA,NA,NA,NA,NA,NA,109.4,NA,NA,NA,NA,NA,NA,NA,0.307254,-10.014861,-10.004687,16.176622,-0.025198,-8.98577,-13.065026,15.58912,102.788212
01/09/1997,24196.2,-2.159905882,412372.3,0.419894891,21.31,23.62,76.720147,76.055936,109.6,NA,NA,NA,NA,NA,NA,NA,3.49592,-4.056297,-9.483224,24.374057,2.939454,-5.680478,-7.801189,20.940868,106.275476
01/10/1997,NA,NA,NA,NA,NA,NA,NA,NA,111.4,NA,NA,NA,NA,NA,NA,NA,6.932226,-4.230348,-9.974682,32.077026,3.191653,-5.807257,-8.699183,20.789767,100.176678
01/11/1997,NA,NA,NA,NA,NA,NA,NA,NA,110.9,NA,NA,NA,NA,NA,NA,NA,6.116483,-3.899943,-7.943262,33.249392,1.57027,-7.594785,-11.653087,22.493154,97.8861
01/12/1997,24856,2.690357605,418506.2,1.476512255,16.67,22.92,77.233032,77.197612,109.8,NA,NA,NA,NA,NA,NA,NA,4.139725,-5.058017,-6.714737,20.677192,1.456923,-6.422888,-7.704295,19.545896,99.113722
01/01/1998,NA,NA,NA,NA,NA,NA,NA,NA,110.1,NA,NA,NA,NA,NA,NA,NA,6.34839,-0.773417,-1.732795,23.938587,4.254534,-4.482679,-6.630285,24.216405,102.301313
01/02/1998,NA,NA,NA,NA,NA,NA,NA,NA,109.3,NA,NA,NA,NA,NA,NA,NA,9.786289,3.353023,1.498551,27.515843,4.67104,-1.132377,-3.47381,22.740951,101.154778
01/03/1998,25809.1,3.762797083,416543,-0.470200706,9.48,21.04,77.779389,77.94322,108.4,NA,NA,NA,NA,NA,NA,NA,10.015729,7.243713,5.181678,23.063474,3.717196,-1.7193,-1.156131,20.816366,103.284231
01/04/1998,NA,NA,NA,NA,NA,NA,NA,NA,109.1,NA,NA,NA,NA,NA,NA,NA,5.008522,-3.424173,-5.019059,20.44974,3.183016,-4.050743,-3.972541,20.117629,108.451191
01/05/1998,NA,NA,NA,NA,NA,NA,NA,NA,109.2,NA,NA,NA,NA,NA,NA,NA,3.902063,-2.126379,-3.591463,17.472568,-0.395129,-7.571274,-4.14487,15.587218,105.425271
01/06/1998,26979.3,4.434276238,418879.9,0.559454642,15,21.12,77.193546,77.685623,109.8,NA,NA,NA,NA,NA,NA,NA,0.362576,-11.075618,-14.325607,15.673345,-0.218127,-8.376665,-13.080281,14.387766,117.744935
01/07/1998,NA,NA,NA,NA,NA,NA,NA,NA,110.6,NA,NA,NA,NA,NA,NA,NA,3.410654,-9.39286,-15.540781,20.164822,-0.297338,-9.999831,-13.648121,17.424987,102.564683
01/08/1998,NA,NA,NA,NA,NA,NA,NA,NA,106.9,NA,NA,NA,NA,NA,NA,NA,2.505529,-11.136631,-14.37164,18.593218,-2.47036,-12.050169,-13.66692,12.942556,99.392855
01/09/1998,27460.2,1.766777834,419280.5,0.095590302,15.71,22.14,77.08634,77.367963,109.7,NA,NA,NA,NA,NA,NA,NA,-6.370505,-13.891829,-16.541892,4.170313,-7.532374,-16.995583,-20.500694,5.197622,99.859882
01/10/1998,NA,NA,NA,NA,NA,NA,NA,NA,108.6,NA,NA,NA,NA,NA,NA,NA,-9.533221,-20.783975,-21.485921,4.264311,-10.268938,-21.549625,-23.265048,3.213847,101.883591
01/11/1998,NA,NA,NA,NA,NA,NA,NA,NA,109.3,NA,NA,NA,NA,NA,NA,NA,-6.293526,-18.325133,-18.132888,10.354556,-7.237605,-19.701187,-18.705142,9.201085,104.912863
01/12/1998,27931.8,1.702814108,417902.6,-0.3291756,16.69,25.15,77.064652,77.177031,98,NA,NA,NA,NA,NA,NA,NA,-8.722527,-24.613869,-26.593905,11.026288,-8.419086,-23.177644,-23.830678,10.57699,104.954305
01/01/1999,NA,NA,NA,NA,NA,NA,NA,NA,108.7,NA,NA,NA,74.84,NA,NA,82.58,-5.279035,-21.571276,-24.351594,12.074171,-8.773279,-24.680822,-25.378864,10.100979,115.651945
01/02/1999,NA,NA,NA,NA,NA,NA,NA,NA,107.2,NA,NA,NA,80.79,NA,NA,83.87,-10.98015,-30.081416,-29.573341,7.690965,-9.810081,-27.031605,-29.255449,9.676815,105.861559
01/03/1999,28900,3.407577041,419848.9,0.464649362,26.64,29.17,76.343214,76.208583,107.4,NA,NA,NA,85.47,NA,NA,84.39,-7.475711,-21.477847,-26.590849,13.220713,-7.711689,-24.983488,-27.927293,12.40922,101.216344
