country,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei,timestamp,interest_rate
DE,31184.89,,635687.43,,11.2,13.9,84.349361,90.940051,,,0.0,0.0,0.0,0.0,0.0,0.0,0.8676083333333334,-16.780977333333336,-20.133333333333333,22.283801999999998,-1.8909396666666665,-16.496572333333333,-27.814179333333332,14.333096666666668,95.26691833333332,1995-01-01,7.432433465085638
DE,31017.59,-0.537921972,640777.12,0.797470948,27.2,16.0,84.555137,85.447164,,,0.0,0.0,0.0,0.0,0.0,0.0,-4.223661,-15.364925333333332,-18.3,6.527275333333333,-6.2863299999999995,-17.222819333333334,-29.793289333333334,5.311969333333334,99.17992366666665,1995-04-01,6.911238095238096
DE,31647.75,2.01125931,642071.09,0.20173399,23.4,17.0,83.993828,83.94685,,,0.0,0.0,0.0,0.0,0.0,0.0,-4.3780236666666665,-17.168102666666666,-15.4,7.434031333333333,-10.505105333333333,-22.98348833333333,-30.462501666666668,1.4163283333333332,98.25996833333333,1995-07-01,6.731235334713596
DE,32071.58,1.33032237,642329.89,0.040298942,24.2,22.2,83.640921,86.561694,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.8325663333333337,-16.47927866666667,-18.266666666666666,9.448246333333334,-12.659779666666665,-27.40149633333333,-33.23031733333334,1.0113953333333332,93.58526766666667,1995-10-01,6.327264373053847
DE,31569.64,-1.577438045,637758.07,-0.714300826,26.6,27.4,82.072253,83.743998,,,0.0,0.0,0.0,0.0,0.0,0.0,-13.421681999999999,-27.405455,-21.900000000000002,-6.392924666666667,-20.115165333333334,-36.576564999999995,-37.828439,-6.917419,93.29415300000001,1996-01-01,6.17893217893218
DE,32618.05,3.266991686,646470.86,1.356911292,22.2,28.5,81.951835,83.35133,,,0.0,0.0,0.0,0.0,0.0,0.0,-18.153114666666667,-31.47779566666667,-25.7,-13.381549,-22.11709666666667,-39.76586566666666,-39.169473333333336,-7.806707333333333,92.89148633333333,1996-04-01,6.460649122807017
DE,32640.36,0.068374332,648972.54,0.386228084,25.7,24.8,81.949509,80.54224,,,0.0,0.0,0.0,0.0,0.0,0.0,-14.633163000000001,-27.75925833333333,-24.7,-3.940231333333333,-18.966900666666668,-37.002251,-38.65456833333334,-2.0199146666666667,92.47901366666667,1996-07-01,6.335878348704437
DE,33170.14,1.610051418,654924.82,0.913004586,18.8,23.6,81.960408,82.759409,,,0.0,0.0,0.0,0.0,0.0,0.0,-11.915590666666667,-27.215806666666666,-24.400000000000002,3.5023673333333334,-15.328859333333334,-34.353794,-34.539532666666666,3.084887,93.61335333333334,1996-10-01,5.88605339105339
DE,33231.43,0.184604121,651582.22,-0.511686075,19.0,21.2,83.388071,80.847022,,,0.0,0.0,0.0,0.0,0.0,0.0,-6.208134666666666,-23.481217,-18.266666666666666,9.690146333333333,-11.442445999999999,-29.495628,-31.278829333333334,5.6285066666666665,88.41751866666668,1997-01-01,5.687951355661883
DE,33421.05,0.568982614,658828.73,1.106001727,17.9,18.6,83.927374,82.556358,,,0.0,0.0,0.0,0.0,0.0,0.0,-4.948502666666666,-20.54304,-17.2,7.497532,-8.875387333333334,-22.913991333333332,-28.491142,4.733152333333333,82.95854933333334,1997-04-01,5.782166907166907
DE,33699.88,0.830833554,661416.73,0.392048811,15.0,13.3,84.84467,83.834949,,,0.0,0.0,0.0,0.0,0.0,0.0,3.165709,-11.096575666666666,-8.766666666666667,20.427036,-4.1787540000000005,-16.685813666666665,-21.349170333333333,10.393849333333334,91.00577866666667,1997-07-01,5.60308300395257
DE,34820.79,3.272034567,666334.02,0.740698129,13.9,11.4,85.566894,84.459826,,,0.0,0.0,0.0,0.0,0.0,0.0,3.7520643333333332,-3.786168,-3.533333333333333,13.542362000000002,-1.3729973333333332,-11.202134666666666,-17.404284,10.794347666666667,92.101271,1997-10-01,5.487350079744817
DE,36580.16,4.929139474,672696.24,0.950279925,13.0,8.4,85.74381,82.84731,,,0.0,0.0,0.0,0.0,0.0,0.0,8.031901,1.0425769999999999,2.4333333333333336,19.41979166666667,-0.2013406666666667,-8.783372,-16.629565,10.912646666666667,95.62453166666667,1998-01-01,5.0003088023088
DE,37048.56,1.272346766,669590.71,-0.462723048,-0.2,8.8,86.102079,87.062966,,,0.0,0.0,0.0,0.0,0.0,0.0,7.293938666666667,5.133449,4.966666666666667,14.415033,-2.637815,-9.363631333333332,-16.590820666666666,7.329601,96.22374966666666,1998-04-01,4.888412280701753
DE,37812.5,2.04102512,672868.74,0.488362835,10.9,12.6,85.526275,87.428537,,,0.0,0.0,0.0,0.0,0.0,0.0,2.356031,1.0947273333333334,-0.5000000000000001,8.806698666666668,-6.003148666666667,-12.801658666666667,-21.474590666666668,3.737425333333334,95.90162633333334,1998-07-01,4.390309931614276
DE,38319.94,1.333065155,672696.28,-0.025633841,21.2,18.5,84.5344,84.86047,,,0.0,0.0,0.0,0.0,0.0,0.0,-5.814076,-7.3942863333333335,-13.433333333333332,-2.7812749999999995,-11.935187333333333,-20.183446,-28.497069666666665,-4.384827666666666,92.352327,1998-10-01,4.01617388167388
DE,39867.42,3.958906165,680503.42,1.153891273,31.8,23.7,83.990448,86.244228,,,0.0,0.0,244.48000000000002,0.0,0.0,244.97,-11.863204333333334,-15.751428666666667,-20.599999999999998,-7.604851666666666,-16.342729666666667,-26.570250333333334,-32.944994,-8.0209,92.21959866666667,1999-01-01,3.8629420289855054
DE,39722.43,-0.364343344,679640.7,-0.126857162,22.7,19.9,83.740589,84.671142,,,0.0,0.0,245.7,0.0,0.0,255.96,-12.962496,-20.88021266666667,-23.766666666666666,-8.107275,-17.191268333333333,-30.079845000000002,-35.35467,-5.246308,90.597061,1999-04-01,4.074193817878027
