country,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei,timestamp,interest_rate
IT,,,373226.3829,,6.51,20.7,76.887969,75.488268,100.53333333333335,,0.0,0.0,0.0,0.0,0.0,0.0,18.31309033333333,20.158028666666667,23.714808,33.197908,10.854823666666666,10.02371,14.867057333333333,24.983647,88.70894233333333,1995-01-01,12.738666666666663
IT,,,374397.6687,0.313335747,10.83,16.72,78.837764,78.853423,102.2,,0.0,0.0,0.0,0.0,0.0,0.0,20.63904966666667,23.117229666666663,17.305430666666666,34.316586,9.934576333333334,8.946659666666667,11.218754666666667,23.290689666666665,93.41758366666666,1995-04-01,12.695666666666668
IT,,,373621.0553,-0.207645512,4.68,14.76,78.548479,78.901648,105.10000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,17.792654,16.429660333333334,11.476742666666667,34.051635,7.808841,3.6952949999999998,5.5792546666666665,24.395648333333337,94.03143066666667,1995-07-01,11.804000000000002
IT,,,376846.3349,0.859544195,9.48,16.59,78.930545,79.899924,110.59999999999998,,0.0,0.0,0.0,0.0,0.0,0.0,10.604909333333334,7.400907,4.543268333333334,25.070487,1.6391643333333334,-4.434297,-3.1639986666666666,18.438451,91.03979466666665,1995-10-01,11.586999999999998
IT,17459.1,,402980.1,6.70496765,8.56,19.97,78.536648,78.734024,108.8,,0.0,0.0,0.0,0.0,0.0,0.0,-0.8240163333333334,-7.188525333333334,-6.581865666666666,11.669809666666666,-6.092795666666667,-17.088935666666668,-14.128679,10.955670333333336,86.98261133333334,1996-01-01,10.546333333333337
IT,23382.9,29.21439833,403560.4,0.143898564,14.34,22.35,76.581188,78.466644,106.7,,0.0,0.0,0.0,0.0,0.0,0.0,-9.522074333333334,-21.118586333333333,-19.967795,4.67903,-10.737562666666667,-26.153609,-25.679349666666667,6.784700000000001,88.47125799999999,1996-04-01,9.868333333333334
IT,26237.3,11.51770764,404270.1,0.175705221,24.25,27.9,75.714766,76.284026,105.13333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,-12.788348,-30.049783666666666,-28.662128,-2.281927,-12.048515333333333,-27.608144,-26.618324,2.6721653333333335,83.144933,1996-07-01,9.36
IT,26143.6,-0.357764376,402949.4,-0.327222318,25.15,32.11,74.862281,74.829038,102.86666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,-10.959834,-29.618285333333333,-29.833921,3.558783333333333,-11.273226000000001,-30.584942666666667,-27.963662666666664,5.658652666666666,92.63839866666666,1996-10-01,7.830333333333333
IT,25368.3,-3.010405559,404103.7,0.286053244,23.64,29.76,75.587311,74.778818,104.76666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,-7.917995666666667,-29.351532000000002,-29.496870666666666,11.537545,-6.816970333333333,-25.62217366666667,-24.310851333333332,12.517887333333334,81.97038400000001,1997-01-01,7.535666666666668
IT,24724.5,-2.570570823,410644.4,1.605610498,26.4,27.34,74.913595,74.481558,109.46666666666665,,0.0,0.0,0.0,0.0,0.0,0.0,-5.105793,-19.33430733333333,-14.641764666666665,13.016928333333334,-3.743945,-16.680438,-15.047027,13.625862,96.18881633333335,1997-04-01,7.374333333333332
IT,24196.2,-2.159905882,412372.3,0.419894891,21.31,23.62,76.720147,76.055936,109.16666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,1.8818896666666667,-8.575239999999999,-10.486074333333333,20.604242,1.6726123333333334,-7.576930666666667,-9.592205,18.392753,105.59381233333333,1997-07-01,6.5106666666666655
IT,24856.0,2.690357605,418506.2,1.476512255,16.67,22.92,77.233032,77.197612,110.7,,0.0,0.0,0.0,0.0,0.0,0.0,5.729478,-4.396102666666667,-8.210893666666665,28.667869999999997,2.0729486666666666,-6.60831,-9.352188333333332,20.942939,99.05883333333333,1997-10-01,6.022666666666667
IT,25809.1,3.762797083,416543.0,-0.470200706,9.48,21.04,77.779389,77.94322,109.26666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,8.716802666666666,3.2744396666666664,1.6491446666666665,24.839301333333335,4.2142566666666665,-2.4447853333333334,-3.7534086666666666,22.591240666666664,102.246774,1998-01-01,5.3356666666666674
IT,26979.3,4.434276238,418879.9,0.559454642,15.0,21.12,77.193546,77.685623,109.36666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,3.091053666666667,-5.542056666666667,-7.645376333333334,17.865217666666666,0.8565866666666667,-6.666227333333333,-7.065897333333333,16.697537666666666,110.54046566666666,1998-04-01,5.144333333333333
IT,27460.2,1.766777834,419280.5,0.095590302,15.71,22.14,77.08634,77.367963,109.06666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,-0.15144066666666647,-11.473773333333334,-15.484771,14.309451000000001,-3.4333573333333334,-13.015194333333334,-15.938578333333332,11.855055,100.60580666666665,1998-07-01,4.761
IT,27931.8,1.702814108,417902.6,-0.3291756,16.69,25.15,77.064652,77.177031,105.3,,0.0,0.0,0.0,0.0,0.0,0.0,-8.183091333333332,-21.240992333333335,-22.070904666666667,8.548385,-8.641876333333334,-21.476152,-21.933622666666665,7.6639740000000005,103.91691966666667,1998-10-01,4.288333333333334
IT,28900.0,3.407577041,419848.9,0.464649362,26.64,29.17,76.343214,76.208583,107.76666666666667,,0.0,0.0,241.10000000000002,0.0,0.0,250.84,-7.911632,-24.376846333333333,-26.838594666666665,10.995283,-8.765016333333334,-25.565305,-27.52053533333333,10.729004666666667,107.576616,1999-01-01,4.082333333333335
IT,28594.3,-1.063419785,421554.0,0.405299847,27.67,33.54,75.181333,75.648758,107.60000000000001,,0.0,0.0,245.95,0.0,0.0,261.23,-5.168323,-18.241005,-24.618497666666666,14.006035666666667,-5.380199,-20.281957666666667,-22.832932,13.791071333333333,98.86086166666666,1999-04-01,4.3346666666666644
IT,28560.7,-0.117575029,425981.4,1.044780023,16.55,23.21,75.902647,76.169918,108.63333333333333,,0.0,0.0,252.07,0.0,0.0,266.7,-0.7125673333333333,-12.413319333333334,-17.710716333333334,20.348950333333335,0.6501416666666667,-9.783625,-13.917041333333332,19.045297666666666,102.224063,1999-07-01,5.118
IT,29169.2,2.108171109,432487.6,1.51579721,20.81,24.69,77.318159,76.696934,110.53333333333335,,0.0,0.0,282.86,0.0,0.0,278.69,8.861487333333333,0.9866986666666667,-7.764994333333334,30.141097000000002,5.446368666666667,-1.3947010000000002,-6.718064000000001,23.779940666666665,113.90964866666667,1999-10-01,5.375666666666668
IT,30847.6,5.594559347,437723.6,1.203400551,14.15,18.46,77.437544,78.994884,111.56666666666666,74.93333333333334,0.0,0.0,332.86,0.0,0.0,271.58000000000004,14.223972333333334,9.287121666666666,-4.299356,35.794795,9.584983666666666,3.263036666666667,-5.556942333333333,28.574546333333334,122.87778566666667,2000-01-01,5.683666666666667
IT,31579.8,2.345872415,440541.2,0.641631013,10.63,14.9,78.016209,78.460465,113.5,75.03333333333333,0.0,0.0,345.95,0.0,0.0,260.32,13.674043666666668,11.342464999999999,-0.5320946666666666,33.012999,10.695695666666666,6.549586000000001,-3.1671820000000004,27.465887,122.829909,2000-04-01,5.547
IT,32187.9,1.907292985,444421.0,0.876834029,9.66,15.64,78.568046,78.730955,112.7,76.60000000000001,0.0,0.0,353.33,0.0,0.0,283.76,13.969943333333333,9.072039333333334,-2.664415,36.06778966666667,9.695013000000001,3.8238149999999997,-5.057123666666667,28.834252333333335,121.36608333333334,2000-07-01,5.5953333333333335
IT,31361.4,-2.601276819,448692.1,0.956459503,6.33,12.95,78.133128,78.586109,113.96666666666665,75.53333333333335,0.0,0.0,355.89,0.0,0.0,289.55,10.543833666666666,8.366486,-5.643718666666667,27.401680666666664,8.113527333333332,3.711387666666667,-5.781169333333334,25.859558333333336,120.96045433333332,2000-10-01,5.474666666666667
IT,31781.4,1.330337566,452487.4,0.842301104,8.52,16.22,78.802871,79.714473,113.0,79.8,0.0,0.0,365.21000000000004,0.0,0.0,291.59000000000003,0.5063006666666666,-2.5259053333333337,-12.553297,20.371473666666667,1.842316,-4.057593,-10.803950666666665,20.567586000000002,120.248671,2001-01-01,5.165666666666668
IT,31870.1,0.278705317,452123.0,-0.080565074,24.42,21.38,77.970464,77.631241,110.63333333333333,80.23333333333333,0.0,0.0,341.48,0.0,0.0,291.02,-2.295077,-5.384325333333333,-13.760411333333332,16.809095,-0.9886210000000001,-9.266541333333334,-14.996196333333335,17.766996000000002,114.20933500000001,2001-04-01,5.376666666666666
IT,31422.6,-1.414088693,450184.1,-0.429765649,12.88,20.19,77.023273,77.341259,110.26666666666667,76.26666666666667,0.0,0.0,322.93,0.0,0.0,268.06,-7.853846,-15.396054333333332,-22.515336666666666,6.057849666666667,-4.521674,-17.930229999999998,-22.145411,13.624681666666667,106.24945100000001,2001-07-01,5.275666666666666
IT,31029.1,-1.260190539,449515.8,-0.148560675,22.09,23.72,76.297705,76.173891,106.39999999999999,75.23333333333333,0.0,0.0,317.01,0.0,0.0,271.78,-8.620398,-23.05387066666667,-30.461667333333335,10.992676000000001,-9.000302666666668,-24.641869666666665,-30.620041,9.108162666666667,107.26433266666668,2001-10-01,4.937
IT,31766.9,2.349939334,450180.2,0.147694359,20.5,20.7,75.228836,74.736246,107.63333333333333,77.83333333333333,343.15,362.62,356.24,343.65,405.79,362.62,-6.552105666666666,-15.776950333333332,-28.360642666666667,11.713967333333335,-2.679861666666666,-13.701412666666668,-23.837654666666666,16.077776333333333,110.45877433333334,2002-01-01,5.250666666666668
IT,31529.7,-0.749490843,451616.2,0.318475703,21.65,24.76,75.915684,76.302071,107.16666666666667,75.16666666666667,336.77,369.65,357.66999999999996,318.34000000000003,390.36,345.67,-5.045432,-20.581741333333333,-23.860247666666666,19.605445,-0.6340093333333333,-13.096287666666667,-19.539138,19.568155,106.43015733333334,2002-04-01,5.355
IT,31988.7,1.445275667,452141.0,0.1161374,27.3,27.15,76.24908,75.792038,107.53333333333335,76.13333333333334,404.48,363.55,380.28000000000003,349.51,394.03,358.23,-1.7440363333333335,-19.838826333333333,-23.94595633333333,18.933384,-2.3620883333333333,-19.560362666666666,-24.94886633333333,17.075633333333332,109.00347166666667,2002-07-01,4.851666666666668
IT,34105.3,6.4070082,454833.3,0.59369001,32.36,28.92,75.590883,75.130638,107.53333333333335,79.96666666666665,387.96000000000004,389.0,389.48,378.12,376.03,374.38,-5.307614,-19.49443266666667,-24.5899,8.891590333333333,-2.2149959999999997,-14.948575333333332,-20.171021333333332,13.437147333333334,111.341661,2002-10-01,4.680000000000001
IT,31047.1,-9.394739116,453048.9,-0.393091152,27.54,26.04,75.713345,73.80594,102.60000000000001,72.63333333333334,366.57,345.75,355.64,337.67,368.78,345.88,-2.276895666666667,-21.572699333333333,-29.205982666666667,16.512012333333335,-1.3982096666666666,-15.247076,-21.736456333333333,15.886690666666667,102.29474533333332,2003-01-01,4.239
IT,30833.8,-0.68939154,451998.1,-0.232209039,23.6,25.13,75.050725,73.613541,102.59999999999998,72.13333333333334,352.74,330.83,341.56,336.59000000000003,358.85,337.69,-6.066516,-23.912055,-31.480957666666665,9.372508333333334,-5.077536,-22.088843999999998,-30.021681,13.047030999999999,98.76429,2003-04-01,4.056333333333336
IT,30505.4,-1.070777375,450966.7,-0.228447543,17.51,21.14,76.527521,75.725785,101.7,71.2,314.1,345.8,332.11,322.5,364.55,335.68,-6.851434666666666,-28.081011666666665,-32.24040733333333,13.226707666666668,-5.9656503333333335,-24.93020633333333,-32.65736933333333,13.292985999999999,98.42023733333333,2003-07-01,4.246333333333332
IT,31513.6,3.251548157,455394.7,0.977101459,28.58,28.44,75.403584,74.907763,104.46666666666665,77.36666666666666,323.32,361.92,346.23,317.76,363.7,331.54,-4.3197849999999995,-22.853615,-27.257099333333333,16.020927333333333,-3.4386596666666667,-19.660486000000002,-26.611373333333333,16.246857333333335,96.590581,2003-10-01,4.450666666666667
IT,32386.3,2.731629518,457004.9,0.35295975,20.56,24.4,76.117226,75.783175,103.33333333333333,76.56666666666666,347.86,383.64,369.95,342.73,373.88,352.98,-5.735316999999999,-23.899431000000003,-27.332375,16.030147333333332,-4.527063,-20.079551666666664,-25.426903999999997,14.495813,100.192926,2004-01-01,4.2763333333333335
IT,32496.9,0.34092063,458397.4,0.304238054,36.43,27.91,75.914219,75.003289,103.10000000000001,76.46666666666667,389.15999999999997,382.58,385.78000000000003,358.96000000000004,394.38,364.68,-2.822842,-18.566137333333334,-19.580864000000002,16.014278,-1.8572523333333333,-17.275361,-19.401577666666665,16.36008633333333,100.90643733333333,2004-04-01,4.462666666666667
IT,31836.7,-2.052498778,458850.4,0.098773753,27.73,22.41,76.198339,74.731483,101.96666666666665,73.9,391.82000000000005,365.4,375.64,339.24,380.63,351.48,-1.9743519999999999,-16.283721,-19.55304333333333,19.227332,-2.274468666666667,-16.053903333333334,-16.64406166666667,15.924225999999999,101.38866633333333,2004-07-01,4.322666666666668
IT,31840.0,0.010364859,459873.6,0.222743811,24.3,24.67,76.165212,75.295533,100.8,77.0,395.6,374.86,382.17,345.83000000000004,403.67,366.33,-3.5104873333333333,-18.831631333333334,-23.682357,18.526836666666668,-2.7444179999999996,-15.870461,-19.00426966666667,15.324759666666667,101.05412666666666,2004-10-01,3.9736666666666665
IT,32319.1,1.493502575,459176.4,-0.151721916,29.32,28.69,76.131737,74.911062,98.66666666666667,73.89999999999999,380.1,357.06,366.56,348.57,366.82,347.76,-5.209205,-19.44545066666667,-22.083282666666666,14.367835,-5.388758,-19.824928333333332,-22.879454,14.053156666666666,102.053448,2005-01-01,3.742
IT,32870.5,1.691721227,462928.7,0.813859659,29.31,28.17,75.146196,74.861843,100.96666666666665,74.56666666666666,428.76,382.09000000000003,401.78000000000003,362.53000000000003,372.34,360.89,-5.752776,-24.12874533333333,-27.369052333333332,13.663750333333333,-8.735199,-25.769373,-30.454837666666666,8.980176666666667,98.15905733333334,2005-04-01,3.5369999999999995
IT,33257.2,1.169568601,465434.4,0.53981165,15.69,23.55,75.150106,73.956446,99.46666666666665,76.39999999999999,379.96000000000004,380.35,380.56,377.9,368.2,373.53999999999996,-0.520618,-17.846520666666667,-22.133692,19.618,-3.947796,-18.8625,-24.544436666666666,13.549661333333333,98.01826366666667,2005-07-01,3.3913333333333333
IT,33742.6,1.4489849,467557.1,0.455031726,29.25,29.63,75.83718,74.993889,102.39999999999999,80.3,403.77,383.14,390.08,361.33,368.93,358.87,1.538426,-9.153698333333333,-12.881701333333332,18.468976333333334,-0.6588186666666667,-12.766105000000001,-15.726556666666667,15.843482666666667,98.02830133333333,2005-10-01,3.5506666666666677
IT,34243.7,1.474147216,469127.3,0.335267988,27.26,27.79,76.397718,75.109844,106.16666666666667,83.73333333333333,410.79999999999995,387.04999999999995,397.37,376.42,386.53,374.27,7.291826333333333,-2.814823,-5.675589666666667,25.056968333333334,2.757483,-8.126706333333333,-11.316279333333334,18.976450666666665,102.518467,2006-01-01,3.721333333333333
IT,34629.8,1.121197688,470613.0,0.316194003,18.64,20.04,76.926679,75.450337,106.73333333333333,85.5,419.77,385.58,400.83000000000004,371.81,390.89,382.13,6.345643666666667,1.854898666666667,-0.8083083333333335,20.978700333333332,5.318223,-0.540117,-3.4331756666666666,21.041998000000003,105.66570266666668,2006-04-01,4.267333333333334
IT,34606.9,-0.066149891,472022.5,0.299055372,13.73,19.51,77.941187,77.280583,108.89999999999999,83.39999999999999,389.36,379.35,384.16999999999996,364.57,383.97,365.49,5.549489666666666,0.3661883333333334,-3.3657990000000004,17.528946333333334,4.277186666666666,-2.121689,-5.193602333333334,18.16649,103.67006333333335,2006-07-01,4.171
IT,35493.9,2.530776658,478509.3,1.36489925,14.72,19.72,77.128607,76.252131,111.16666666666667,90.53333333333335,387.91999999999996,416.24,403.98,385.58,399.23,388.28,6.302236000000001,2.4940493333333333,-9.370188333333333,18.099324666666668,4.867684,0.32625699999999996,-4.653772333333333,18.922519333333334,103.96209366666666,2006-10-01,4.026000000000001
IT,35151.4,-0.969640396,478056.5,-0.09467201,16.58,18.13,77.384026,77.748667,112.60000000000001,91.3,388.10999999999996,388.3,388.46000000000004,399.72,408.90999999999997,400.63,8.610689,5.482412666666666,-1.8485196666666666,24.019654333333335,4.949405666666666,-0.002567333333333366,-4.898282666666667,20.257014333333334,104.09522066666666,2007-01-01,4.2396666666666665
IT,35378.7,0.644549737,479215.3,0.242104816,11.03,19.66,78.247713,78.568977,112.10000000000001,91.3,374.62,428.13,404.92999999999995,392.77,396.94,391.1,11.825804666666665,14.911568666666668,4.772689666666667,24.732511666666667,5.5000469999999995,2.8126389999999994,0.33746699999999996,18.751715333333333,103.93335333333334,2007-04-01,4.544
IT,36295.4,2.558106734,479123.0,-0.019262509,5.8,19.67,78.153973,78.49596,117.13333333333333,93.13333333333333,395.64,423.03000000000003,412.36,408.25,396.13,395.55,9.071964333333334,10.653979333333332,0.7847323333333334,21.701914,1.831586,-3.786433666666666,-6.128479333333334,14.983151333333334,103.19732966666668,2007-07-01,4.639333333333333
IT,35778.2,-1.43522421,478117.4,-0.210104039,11.8,21.12,77.368505,78.018703,111.86666666666667,92.2,406.5,408.87,406.88,401.56,387.77,396.19,7.3991576666666665,3.476466333333333,-1.6044563333333333,24.481005999999997,1.272638,-6.1060696666666665,-8.947450666666667,16.448749,103.17315933333333,2007-10-01,4.526
IT,35211.0,-1.598023559,483348.7,1.088203031,12.66,19.45,76.758834,77.717315,117.2,94.83333333333333,420.32,393.79,403.71,412.61,392.77,399.15999999999997,5.099545666666667,0.4388763333333335,-5.957032000000001,17.206427666666666,-0.12956166666666669,-9.937658333333333,-11.824127666666667,13.736082333333334,101.79723766666666,2008-01-01,4.376666666666666
IT,35933.4,2.030869131,478846.8,-0.935762608,13.65,20.99,76.069338,77.04795,115.33333333333333,95.7,422.93,389.84000000000003,402.65999999999997,406.97,379.72999999999996,396.65999999999997,-0.3430066666666667,-8.664910666666666,-10.413652999999998,14.355891,-3.8619850000000002,-17.117794333333332,-18.29490733333333,10.198387666666667,100.084287,2008-04-01,4.780333333333333
IT,33671.0,-6.503029233,471642.8,-1.515879385,18.23,24.94,76.329237,77.493237,107.53333333333335,92.43333333333334,405.32,365.5,383.31,390.43,358.05,374.65999999999997,-6.052596333333334,-13.067802,-11.981809,5.303346666666667,-8.613958333333333,-24.266632,-23.167232,4.604126,97.934333,2008-07-01,4.904333333333333
IT,31855.7,-5.542060286,460392.3,-2.41429673,27.29,27.26,75.147577,75.993712,98.73333333333333,84.96666666666667,358.25,397.90999999999997,380.39,373.33,313.98,349.54,-24.100495,-47.37510766666667,-41.35996566666666,-15.416376333333332,-21.186646666666665,-44.896104666666666,-42.557298333333335,-12.085682666666665,88.26344633333333,2008-10-01,4.664000000000001
IT,29099.9,-9.048159215,449089.5,-2.485675239,35.8,39.01,69.492569,69.045698,85.06666666666666,74.2,313.37,293.3,301.25,290.68,262.67,283.45,-35.116949,-67.61837933333334,-64.52646833333334,-28.702468666666665,-30.576913,-62.08175833333333,-63.94975333333334,-22.690071333333336,83.39941266666666,2009-01-01,4.538333333333333
IT,28490.6,-2.116052944,446680.5,-0.537862578,45.46,42.72,65.020599,62.487112,80.0,76.53333333333333,295.36,260.76,274.63,296.18,269.06,281.94,-31.229861,-69.20785833333333,-73.03600133333333,-15.338391,-25.343113666666667,-62.712860666666664,-66.32953033333332,-9.839221,85.70510633333333,2009-04-01,4.4590000000000005
IT,28063.1,-1.511866219,448181.0,0.335359473,45.01,40.24,64.995489,63.201193,79.86666666666666,74.86666666666667,296.47,270.41,282.52,308.96,266.57,293.97,-24.006161333333335,-62.70936766666667,-67.34661033333333,-6.4291160000000005,-19.207639,-55.25410566666667,-56.85356833333333,-0.9384266666666669,87.53714533333334,2009-07-01,4.192333333333335
IT,30898.0,9.623591077,449382.5,0.26772495,42.94,38.15,65.366067,61.028027,84.03333333333333,77.13333333333334,319.71,269.09000000000003,288.23,300.12,271.82,284.94,-19.095236333333332,-55.136878333333335,-59.36876866666666,-3.2654973333333337,-14.200507333333334,-47.74961966666666,-49.81960633333333,3.6081656666666664,89.30321366666668,2009-10-01,4.055000000000001
IT,30151.5,-2.445678371,451102.2,0.381950319,41.5,37.56,65.886206,62.743548,87.33333333333333,80.7,347.44,294.76,315.34,311.23,278.71999999999997,301.4,-15.844208333333334,-54.096951,-53.225188,2.997659333333333,-9.193407333333333,-39.01625066666667,-42.23111633333334,8.188024666666665,86.18761766666667,2010-01-01,4.0233333333333325
IT,31675.8,4.931830922,454150.5,0.673471954,40.46,33.71,68.9437,66.387484,91.23333333333333,82.03333333333333,368.24,316.38,336.51,331.2,282.18,307.64,-10.752299,-38.495744,-37.950803666666665,5.532180666666666,-5.599133666666667,-29.957437,-29.580955666666664,10.369841666666666,93.02160133333332,2010-04-01,4.027666666666668
IT,30523.8,-3.704627521,455357.7,0.265462303,39.61,39.01,71.402658,69.719433,94.10000000000001,78.89999999999999,390.76,302.66,341.67,347.16999999999996,295.69,327.14,-5.209077,-27.347611,-30.468480666666665,11.557046333333332,-3.3119816666666666,-21.86049266666667,-22.773836666666668,10.814119333333332,92.57735000000001,2010-07-01,3.8966666666666665
IT,31679.2,3.715360692,459266.0,0.854629896,37.37,34.11,72.962738,71.982687,94.53333333333335,80.7,399.67,291.89,335.31,345.23,317.12,328.66,-4.308444333333333,-24.767311333333335,-20.968299,16.341978666666666,-1.615258,-17.61175,-15.050039,13.627710333333333,92.11549433333333,2010-10-01,4.195666666666666
IT,31903.7,0.706167642,461868.5,0.565065563,34.32,34.11,73.536042,73.039168,97.16666666666667,84.5,375.79,308.28,335.88,356.23,295.84000000000003,328.12,-3.6847173333333334,-22.530047666666665,-13.428910666666667,13.329228666666666,-0.277788,-14.265776333333335,-10.31137,13.871930666666666,94.16225266666667,2011-01-01,4.78
