timestamp,moirai_p10,moirai_p50,moirai_p90,moirai_mean,origin_date,horizon_step,model,actual
2021-01-01,53215.887,57534.367,61504.87,57534.367,2020-10-01,1,Moirai-2,57443.01
2021-04-01,51428.305,57400.113,62532.062,57400.113,2020-10-01,2,Moirai-2,58786.93
2021-07-01,50014.484,57129.49,62919.664,57129.49,2020-10-01,3,Moirai-2,56216.19
2021-10-01,49307.008,57231.508,63496.88,57231.508,2020-10-01,4,Moirai-2,57219.96
2021-04-01,53338.0,57168.594,60769.457,57168.594,2021-01-01,1,Moirai-2,58786.93
2021-07-01,51737.867,57048.89,61927.938,57048.89,2021-01-01,2,Moirai-2,56216.19
2021-10-01,50342.97,56771.617,62447.215,56771.617,2021-01-01,3,Moirai-2,57219.96
2022-01-01,49598.65,56858.73,63030.06,56858.73,2021-01-01,4,Moirai-2,58145.65
2021-07-01,55351.08,58608.016,61507.48,58608.016,2021-04-01,1,Moirai-2,56216.19
2021-10-01,54002.008,58489.28,62540.812,58489.28,2021-04-01,2,Moirai-2,57219.96
2022-01-01,52829.16,58222.523,62965.926,58222.523,2021-04-01,3,Moirai-2,58145.65
2022-04-01,52174.465,58301.914,63641.586,58301.914,2021-04-01,4,Moirai-2,59852.04
2021-10-01,52799.96,56367.707,59426.9,56367.707,2021-07-01,1,Moirai-2,57219.96
2022-01-01,51671.29,56377.8,60604.28,56377.8,2021-07-01,2,Moirai-2,58145.65
2022-04-01,50829.992,56333.418,61413.977,56333.418,2021-07-01,3,Moirai-2,59852.04
2022-07-01,50233.35,56401.305,62048.066,56401.305,2021-07-01,4,Moirai-2,61937.63
2022-01-01,54557.37,57524.43,60421.598,57524.43,2021-10-01,1,Moirai-2,58145.65
2022-04-01,53554.7,57622.664,61689.82,57622.664,2021-10-01,2,Moirai-2,59852.04
2022-07-01,52710.24,57531.938,62515.94,57531.938,2021-10-01,3,Moirai-2,61937.63
2022-10-01,52071.29,57587.066,63234.812,57587.066,2021-10-01,4,Moirai-2,61101.16
2022-04-01,55664.08,58398.07,60834.11,58398.07,2022-01-01,1,Moirai-2,59852.04
2022-07-01,54622.24,58442.555,61988.02,58442.555,2022-01-01,2,Moirai-2,61937.63
2022-10-01,53749.09,58376.58,62827.152,58376.58,2022-01-01,3,Moirai-2,61101.16
2023-01-01,52954.555,58324.586,63445.39,58324.586,2022-01-01,4,Moirai-2,60472.42
2022-07-01,57250.605,60076.285,62615.383,60076.285,2022-04-01,1,Moirai-2,61937.63
2022-10-01,56093.605,60098.305,63692.36,60098.305,2022-04-01,2,Moirai-2,61101.16
2023-01-01,55122.664,59948.805,64390.492,59948.805,2022-04-01,3,Moirai-2,60472.42
2023-04-01,54208.17,59865.242,64954.57,59865.242,2022-04-01,4,Moirai-2,60438.95
2022-10-01,59196.855,61987.63,64299.875,61987.63,2022-07-01,1,Moirai-2,61101.16
2023-01-01,57696.285,62007.1,65323.848,62007.1,2022-07-01,2,Moirai-2,60472.42
2023-04-01,56508.67,61848.5,65999.35,61848.5,2022-07-01,3,Moirai-2,60438.95
2023-07-01,55475.543,61748.133,66652.51,61748.133,2022-07-01,4,Moirai-2,60890.67
2023-01-01,58673.824,61316.906,63483.64,61316.906,2022-10-01,1,Moirai-2,60472.42
2023-04-01,57251.258,61339.68,64649.18,61339.68,2022-10-01,2,Moirai-2,60438.95
2023-07-01,56144.375,61363.16,65618.93,61363.16,2022-10-01,3,Moirai-2,60890.67
2023-10-01,55135.71,61390.27,66460.95,61390.27,2022-10-01,4,Moirai-2,59552.28
2023-04-01,56462.688,59384.58,62083.508,59384.58,2023-01-01,1,Moirai-2,60438.95
